241869
21400	厘	73412	-1	1
21402	厚	84521	-1	2
21404	厜	65536	-1	3
21405	厝	65536	-1	3
21406	厞	65536	-1	3
21407	原	121031	-1	2
21410	厢	74923	-1	1
21411	厣	65536	-1	3
21413	厥	65699	-1	1
21414	厦	65951	-1	2
21415	厧	65536	-1	3
21416	厨	78545	-1	1
21417	厩	66342	-1	2
21420	厬	65536	-1	3
21422	厮	65536	-1	3
21433	厹	65536	-1	3
21435	去	83357	-1	1
21439	县	91096	-1	2
21442	参	95233	-1	1
21446	叆	65536	-1	3
21447	叇	65536	-1	3
21448	又	77965	-1	2
21449	叉	76045	-1	2
21450	及	78614	-1	2
21451	友	80273	-1	1
21452	双	125897	-1	1
21453	反	114070	-1	1
21457	发	116605	-1	1
21460	叔	80722	-1	2
21462	取	80113	-1	1
21463	受	103017	-1	1
21464	变	107818	-1	1
21465	叙	80048	-1	2
21467	叛	80291	-1	2
21471	叟	65536	-1	3
21472	叠	79373	-1	1
21473	叡	65536	-1	3
21475	口	114177	-1	2
21476	古	116179	-1	1
21477	句	79224	-1	1
21478	另	80732	-1	1
21480	叨	65536	-1	3
21481	叩	77508	-1	1
21482	只	82370	-1	2
21483	叫	79272	-1	1
21485	叭	79585	-1	1
21487	可	125461	-1	1
21488	台	100079	-1	1
21489	叱	65536	-1	3
21490	史	90154	-1	1
21491	右	98463	-1	2
21493	叵	72930	-1	2
21494	叶	87133	-1	1
21495	号	83328	-1	1
21496	司	81138	-1	1
21497	叹	73275	-1	1
21499	叻	65536	-1	3
21507	吃	85030	-1	1
21508	各	87088	-1	1
21510	吆	79109	-1	1
21511	吇	65536	-1	3
21512	合	111329	-1	1
21513	吉	89612	-1	2
21514	吊	91058	-1	1
21515	吋	65536	-1	3
21516	同	125400	-1	1
21517	名	128198	-1	1
21518	后	122872	-1	2
21519	吏	74076	-1	1
21520	吐	75345	-1	1
21521	向	83531	-1	1
21523	吓	81796	-1	1
21525	吕	80896	-1	1
21526	吖	80076	-1	1
21527	吗	80099	-1	1
21528	吘	65536	-1	3
21529	吙	65536	-1	3
21531	君	82011	-1	1
21532	吜	65536	-1	3
21533	吝	80112	-1	1
21534	吞	80463	-1	1
21537	吡	80316	-1	1
21541	吥	65536	-1	3
21542	否	81087	-1	1
21543	吧	79120	-1	1
21544	吨	81731	-1	1
21545	吩	65536	-1	3
21547	含	90978	-1	1
21548	听	84520	-1	1
21551	启	82085	-1	1
21554	吲	80373	-1	1
21556	吴	72517	-1	1
21558	吶	65536	-1	3
21560	吸	93013	-1	1
21561	吹	80681	-1	1
21563	吻	80632	-1	1
21564	吼	80666	-1	1
21565	吽	65536	-1	3
21566	吾	78626	-1	1
21568	呀	81378	-1	1
21574	呆	82510	-1	1
21576	呈	76195	-1	1
21578	告	81292	-1	1
21579	呋	80310	-1	1
21582	呎	65536	-1	3
21584	呐	80311	-1	1
21586	呒	65536	-1	3
21587	呓	66390	-1	2
21588	呔	65536	-1	3
21590	呖	65536	-1	3
21592	员	79406	-1	1
21596	呜	80585	-1	1
21600	呠	65536	-1	3
21602	呢	80324	-1	1
